"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","18.5920","18.5940","18.7073","18.4976","","0.06%"
"10/28/2022","18.5813","18.6001","18.7077","18.4970","","-0.09%"
"10/27/2022","18.5974","18.6049","18.7110","18.4395","","0.03%"
"10/26/2022","18.5911","18.6050","18.7009","18.4850","","0.01%"
"10/25/2022","18.5895","18.6072","18.6996","18.4795","","-0.08%"
"10/24/2022","18.6036","18.5960","18.6978","18.4720","","0.08%"
"10/21/2022","18.5884","18.5980","18.6933","18.4827","","0.01%"
"10/20/2022","18.5868","18.5907","18.6843","18.4688","","-0.01%"
"10/19/2022","18.5887","18.5879","18.6813","18.4517","","0.05%"
"10/18/2022","18.5794","18.5808","18.6780","18.4631","","0.10%"
"10/17/2022","18.5610","18.5760","18.6721","18.4789","","0.01%"
"10/14/2022","18.5585","18.5540","18.6712","18.4545","","0.20%"
"10/13/2022","18.5218","18.5676","18.6705","18.4543","","-0.19%"
"10/12/2022","18.5571","18.5919","18.6791","18.4592","","-0.16%"
"10/11/2022","18.5875","18.5795","18.7060","18.4784","","0.07%"
"10/10/2022","18.5737","18.5823","18.6870","18.4531","","0.06%"
"10/07/2022","18.5620","18.5756","18.6915","18.4802","","-0.05%"
"10/06/2022","18.5719","18.5694","18.6810","18.4683","","0.07%"
"10/05/2022","18.5595","18.5780","18.6931","18.4636","","-0.04%"
"10/04/2022","18.5668","18.5489","18.6655","18.3570","","0.13%"
"10/03/2022","18.5428","18.4895","18.6460","18.4065","","0.23%"
"09/30/2022","18.5000","18.4987","18.6262","18.4018","","0.02%"
"09/29/2022","18.4961","18.5113","18.6195","18.4265","","-0.04%"
"09/28/2022","18.5040","18.4384","18.6045","18.3566","","0.38%"
"09/27/2022","18.4332","18.4592","18.5808","18.3382","","0.00%"
"09/26/2022","18.4327","18.4040","18.5434","18.3223","","0.11%"
"09/23/2022","18.4131","18.3420","18.4900","18.2493","","0.50%"
"09/22/2022","18.3212","18.3285","18.4546","18.2455","","-0.01%"
"09/21/2022","18.3230","18.3067","18.4123","18.2000","","0.12%"
"09/20/2022","18.3015","18.2866","18.3958","18.1950","","0.12%"
"09/19/2022","18.2803","18.2565","18.3745","18.1649","","0.14%"
"09/16/2022","18.2543","18.2661","18.3587","18.1525","","-0.05%"
"09/15/2022","18.2638","18.2374","18.3520","18.1546","","0.17%"
"09/14/2022","18.2331","18.2498","18.3420","18.1535","","-0.05%"
"09/13/2022","18.2430","18.2243","18.3312","18.1350","","0.15%"
"09/12/2022","18.2152","18.2233","18.3270","18.1332","","-0.10%"
"09/09/2022","18.2334","18.2336","18.3310","18.1355","","0.03%"
"09/08/2022","18.2281","18.2274","18.3300","18.1280","","0.06%"
"09/07/2022","18.2174","18.2246","18.3235","18.1135","","0.02%"
"09/06/2022","18.2146","18.2189","18.3228","18.1182","","0.02%"
"09/05/2022","18.2108","18.1971","18.3090","18.1220","","0.18%"
"09/02/2022","18.1777","18.2047","18.3442","18.1138","","-0.12%"
"09/01/2022","18.1993","18.1976","18.2461","18.1510","","0.07%"
"08/31/2022","18.1868","18.1840","18.2910","18.0811","","0.12%"
"08/30/2022","18.1650","18.1821","18.2131","18.1425","","-0.07%"
"08/29/2022","18.1772","18.1647","18.2720","18.0802","","0.19%"
"08/26/2022","18.1433","18.1702","18.3405","18.0704","","-0.12%"
"08/25/2022","18.1653","18.1514","18.2480","18.0498","","0.15%"
"08/24/2022","18.1386","18.1137","18.2275","18.0170","","0.23%"
"08/23/2022","18.0973","18.0721","18.2070","17.9849","","0.27%"
"08/22/2022","18.0480","18.0807","18.2295","17.9951","","-0.20%"
"08/19/2022","18.0850","18.0322","18.1956","17.9719","","0.43%"
"08/18/2022","18.0075","17.9506","18.1502","17.8547","","0.40%"
"08/17/2022","17.9349","17.9319","18.0473","17.8395","","0.14%"
"08/16/2022","17.9095","17.9587","18.0522","17.8344","","-0.23%"
"08/15/2022","17.9500","17.9324","18.0513","17.8227","","0.10%"
"08/12/2022","17.9324","17.9449","18.0592","17.8158","","-0.01%"
"08/11/2022","17.9336","17.8741","18.0337","17.7890","","0.35%"
"08/10/2022","17.8708","17.9018","18.0354","17.7650","","-0.11%"
"08/09/2022","17.8907","17.9380","18.0483","17.6443","","-0.11%"
"08/08/2022","17.9106","17.9116","18.0553","17.8303","","0.00%"
"08/05/2022","17.9101","17.9273","18.0545","17.8174","","-0.05%"
"08/04/2022","17.9197","17.9412","18.0506","17.8118","","-0.09%"
"08/03/2022","17.9367","17.9447","18.0594","17.8459","","0.06%"
"08/02/2022","17.9253","17.9014","18.0382","17.8285","","0.15%"
"08/01/2022","17.8987","17.9084","18.0415","17.7723","","-0.07%"